table,location_id,state,gps_lat,gps_long,reason
meets,,NV,40.701252,-74.28725,outside NV box
meets,,OR,37.49134,-122.22471,outside OR box
meets,,OR,37.49134,-122.22471,outside OR box
meets,37056,MT,47.860382,-103.97003,outside MT box
meets,37056,MT,47.860382,-103.97003,outside MT box
meets,37056,MT,47.860382,-103.97003,outside MT box
meets,37056,MT,47.860382,-103.97003,outside MT box
meets,14440,GA,35.257233,-80.82429,outside GA box
meets,14440,GA,35.257233,-80.82429,outside GA box
meets,14440,GA,35.257233,-80.82429,outside GA box
meets,14440,GA,35.257233,-80.82429,outside GA box
meets,,WA,37.096527,-113.56841,outside WA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,IN,37.09024,-95.71289,outside IN box
meets,,NV,39.19471,-120.12041,outside NV box
meets,12225,AR,36.624897,-92.134605,outside AR box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,27898,MN,43.317146,-91.80755,outside MN box
meets,,CO,64.751114,-147.34944,outside CO box
meets,21737,KS,38.758083,-93.73837,outside KS box
meets,,MI,47.60414,-122.1987,outside MI box
meets,,NM,37.266304,-107.01001,outside NM box
meets,,WV,39.7293,-94.240555,outside WV box
meets,,IN,2.7763832,-77.6672,outside IN box
meets,,NE,45.02783,-93.0069,outside NE box
meets,,KS,38.758083,-93.73837,outside KS box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,NV,39.19494,-120.12052,outside NV box
meets,38782,MI,36.994205,-94.5941,outside MI box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,26202,NV,39.333317,-120.350784,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,OR,41.187675,-85.08981,outside OR box
meets,,NV,39.19471,-120.12041,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,OR,41.187675,-85.08981,outside OR box
meets,,IL,37.09024,-95.71289,outside IL box
meets,,NV,36.6337,-121.93126,outside NV box
meets,,NV,39.32796,-120.18325,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,WA,37.096527,-113.56841,outside WA box
meets,10571,NV,39.19471,-120.12041,outside NV box
meets,,IN,37.09024,-95.71289,outside IN box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,,KY,19.3133,-81.2546,outside KY box
meets,,OH,30.54324,-87.2356,outside OH box
meets,,MI,47.60414,-122.1987,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,NV,39.19494,-120.12052,outside NV box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,,NV,39.32796,-120.18325,outside NV box
meets,,IL,37.09024,-95.71289,outside IL box
meets,,IN,42.465134,-70.9437,outside IN box
meets,,KY,19.3133,-81.2546,outside KY box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,HI,35.66723,51.434795,outside HI box
meets,10571,NV,39.19471,-120.12041,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,KY,19.3133,-81.2546,outside KY box
meets,3731,NV,39.32796,-120.18325,outside NV box
meets,,MI,37.09024,-95.71289,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,IA,37.86641,-87.05767,outside IA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,OR,41.187675,-85.08981,outside OR box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,,OR,41.187675,-85.08981,outside OR box
meets,,MI,47.60414,-122.1987,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,OH,30.54324,-87.2356,outside OH box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,NV,40.701252,-74.28725,outside NV box
meets,,KY,19.3133,-81.2546,outside KY box
meets,,IN,42.465134,-70.9437,outside IN box
meets,,OH,30.54324,-87.2356,outside OH box
meets,,IL,37.09024,-95.71289,outside IL box
meets,,OR,41.187675,-85.08981,outside OR box
meets,,IN,37.09024,-95.71289,outside IN box
meets,,KY,19.3133,-81.2546,outside KY box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,3731,NV,39.32796,-120.18325,outside NV box
meets,,KS,38.485165,-89.130905,outside KS box
meets,,NV,39.19494,-120.12052,outside NV box
meets,,MI,37.09024,-95.71289,outside MI box
meets,,HI,35.66723,51.434795,outside HI box
meets,,KS,38.485165,-89.130905,outside KS box
meets,,KY,19.3133,-81.2546,outside KY box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,KY,19.3133,-81.2546,outside KY box
meets,,OH,30.54324,-87.2356,outside OH box
meets,,NV,39.19494,-120.12052,outside NV box
meets,,IN,37.09024,-95.71289,outside IN box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,NV,39.32796,-120.18325,outside NV box
meets,,NV,39.32796,-120.18325,outside NV box
meets,,NE,32.243484,-110.94747,outside NE box
meets,,NV,39.19494,-120.12052,outside NV box
meets,,OR,37.49134,-122.22471,outside OR box
meets,,NE,32.243484,-110.94747,outside NE box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,NV,39.19494,-120.12052,outside NV box
meets,,OH,30.54324,-87.2356,outside OH box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,,KY,19.3133,-81.2546,outside KY box
meets,,KS,38.485165,-89.130905,outside KS box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,IA,37.86641,-87.05767,outside IA box
meets,,OH,30.54324,-87.2356,outside OH box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,NV,36.6337,-121.93126,outside NV box
meets,,WA,37.096527,-113.56841,outside WA box
meets,,OR,37.49134,-122.22471,outside OR box
meets,,WA,37.096527,-113.56841,outside WA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,KY,19.3133,-81.2546,outside KY box
meets,,KY,19.3133,-81.2546,outside KY box
meets,10571,NV,39.19471,-120.12041,outside NV box
meets,,NV,36.6337,-121.93126,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,10571,NV,39.19471,-120.12041,outside NV box
meets,,IL,37.09024,-95.71289,outside IL box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,OR,41.187675,-85.08981,outside OR box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,NV,36.6337,-121.93126,outside NV box
meets,,KS,38.485165,-89.130905,outside KS box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,MI,37.09024,-95.71289,outside MI box
meets,,MN,43.317146,-91.80755,outside MN box
meets,27898,MN,43.317146,-91.80755,outside MN box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,OR,33.8853,-117.34182,outside OR box
meets,,MI,47.60414,-122.1987,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,NV,39.19494,-120.12052,outside NV box
meets,,KS,38.758083,-93.73837,outside KS box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,21737,KS,38.758083,-93.73837,outside KS box
meets,,WA,37.096527,-113.56841,outside WA box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,40478,MI,41.591442,-86.71968,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,27898,MN,43.317146,-91.80755,outside MN box
meets,,CO,64.751114,-147.34944,outside CO box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,MT,41.905346,-88.34259,outside MT box
meets,27898,MN,43.317146,-91.80755,outside MN box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,32131,WI,42.03207,-92.925995,outside WI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,38782,MI,36.994205,-94.5941,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,37905,OH,37.98834,-81.15086,outside OH box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,36446,MI,41.37219,-84.16626,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,36446,MI,41.37219,-84.16626,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,36446,MI,41.37219,-84.16626,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,WA,47.95316,-116.58644,outside WA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,36446,MI,41.37219,-84.16626,outside MI box
meets,32132,WI,42.03207,-92.925995,outside WI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,WA,47.95316,-116.58644,outside WA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,38782,MI,36.994205,-94.5941,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,40478,MI,41.591442,-86.71968,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,MI,37.09024,-95.71289,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,OR,33.8853,-117.34182,outside OR box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,MT,41.905346,-88.34259,outside MT box
meets,40478,MI,41.591442,-86.71968,outside MI box
meets,,NE,45.02783,-93.0069,outside NE box
meets,,KS,38.758083,-93.73837,outside KS box
meets,,CO,64.751114,-147.34944,outside CO box
meets,,WA,37.096527,-113.56841,outside WA box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,OR,34.091488,-118.283585,outside OR box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,21737,KS,38.758083,-93.73837,outside KS box
meets,,WV,39.7293,-94.240555,outside WV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,MI,47.60414,-122.1987,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,NM,37.266304,-107.01001,outside NM box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,OR,34.091488,-118.283585,outside OR box
meets,,NV,37.09024,-95.71289,outside NV box
meets,26202,NV,39.333317,-120.350784,outside NV box
meets,27898,MN,43.317146,-91.80755,outside MN box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,MN,43.317146,-91.80755,outside MN box
meets,27898,MN,43.317146,-91.80755,outside MN box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,MN,43.317146,-91.80755,outside MN box
meets,,NV,39.19494,-120.12052,outside NV box
meets,,NV,39.19471,-120.12041,outside NV box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,32132,WI,42.03207,-92.925995,outside WI box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,26202,NV,39.333317,-120.350784,outside NV box
meets,40478,MI,41.591442,-86.71968,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,21737,KS,38.758083,-93.73837,outside KS box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,32131,WI,42.03207,-92.925995,outside WI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,26202,NV,39.333317,-120.350784,outside NV box
meets,,NV,39.345238,-120.177284,outside NV box
meets,40478,MI,41.591442,-86.71968,outside MI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,27898,MN,43.317146,-91.80755,outside MN box
meets,32132,WI,42.03207,-92.925995,outside WI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,37905,OH,37.98834,-81.15086,outside OH box
meets,32131,WI,42.03207,-92.925995,outside WI box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,33518,SD,45.91746,-102.115295,outside SD box
meets,40478,MI,41.591442,-86.71968,outside MI box
meets,38782,MI,36.994205,-94.5941,outside MI box
meets,32131,WI,42.03207,-92.925995,outside WI box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,NV,39.19494,-120.12052,outside NV box
meets,12225,AR,36.624897,-92.134605,outside AR box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,MI,47.60414,-122.1987,outside MI box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,IN,2.7763832,-77.6672,outside IN box
meets,26202,NV,39.333317,-120.350784,outside NV box
meets,,OR,33.8853,-117.34182,outside OR box
meets,,NV,37.09024,-95.71289,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,NV,39.19494,-120.12052,outside NV box
meets,,NV,39.19471,-120.12041,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,,NV,39.19494,-120.12052,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,,NV,39.345238,-120.177284,outside NV box
meets,12225,AR,36.624897,-92.134605,outside AR box
meets,,WV,39.7293,-94.240555,outside WV box
meets,,NV,37.09024,-95.71289,outside NV box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,27898,MN,43.317146,-91.80755,outside MN box
meets,,WA,47.95316,-116.58644,outside WA box
meets,26202,NV,39.333317,-120.350784,outside NV box
meets,28492,WI,42.306507,-89.14965,outside WI box
meets,,MI,37.09024,-95.71289,outside MI box
meets,,CO,64.751114,-147.34944,outside CO box
meets,,NV,39.19494,-120.12052,outside NV box
meets,12225,AR,36.624897,-92.134605,outside AR box
meets,28492,WI,42.306507,-89.14965,outside WI box
meets,41810,WA,47.95316,-116.58644,outside WA box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
meets,634,NV,39.19494,-120.12052,outside NV box
